source,order,family,genus,specificEp,yearpub,PUBL,year,month,ANA,BAR,CAT,CLE,CRU,MIG,NIC,ROS
lit,Coleoptera,Melyridae,Dasytes,insularis,1921,Stan. Univ. Pub. Biol.,,,,,x,,,,,
lit,Coleoptera,Melyridae,Endeodes,basalis,1897,Can. Ent.,,,,,x,,,,,
lit,Coleoptera,Melyridae,Endeodes,insularis,1932,Pan-Pac. Ent.,,,,,,,,x,,
lit,Coleoptera,Melyridae,Endeodes,sp.,1897,Can. Ent.,,,,,x,,,,,
lit,Coleoptera,Melyridae,Endeodes,sp.,1901,Calif. Acad. Sci. Occ. Pap.,,,,,x,,,,,
lit,Coleoptera,Melyridae,Endeodes,sp.2,1897,Can. Ent.,,,,,,,,,,x
lit,Coleoptera,Melyridae,Eschatocrepis,constrictus,1897,Can. Ent.,,,,,x,,,,,
lit,Coleoptera,Melyridae,Eschatocrepis,constrictus,1934,Can. Ent.,,,,,,,x,,,
lit,Coleoptera,Melyridae,Listrus,anacapensis,1924,Pan-Pac. Ent.,,,x,,,,,,,
lit,Coleoptera,Melyridae,Listrus,anacapensis,1937,Coleop. Cat.,,,x,,,,,,,
lit,Coleoptera,Melyridae,Listrus,coronadensis,1939,Trans. Amer. Ent. Soc.,1928,5,,,,,,,,
lit,Coleoptera,Melyridae,Listrus,interruptus,1866,Proc. Acad. Nat. Sci. Phil.,,,,,,,x,,,
lit,Coleoptera,Melyridae,Listrus,interruptus,1901,Calif. Acad. Sci. Occ. Pap.,,,,,,,x,,,
lit,Coleoptera,Melyridae,Listrus,sp.,1897,Can. Ent.,,,,,,x,,,,x
lit,Coleoptera,Melyridae,Listrus,sp.,1985,Ent. Calif. Ch. Isls. Proc.,,,,x,,,,,,
lit,Coleoptera,Melyridae,Microlipus,longicollus,1917,Trans. Amer. Ent. Soc.,,8,,,x,,,,,
lit,Coleoptera,Melyridae,Trichochrous,aenescens,1866,Proc. Acad. Nat. Sci. Phil.,,,,,,,,,,
lit,Coleoptera,Melyridae,Trichochrous,aenescens,1897,Can. Ent.,,,,x,,,,,,x
lit,Coleoptera,Melyridae,Trichochrous,calcaratus,1897,Can. Ent.,,,,,,,,,,x
lit,Coleoptera,Melyridae,Trichochrous,calcaratus,1934,Can. Ent.,,,,,,,x,,,x
lit,Coleoptera,Melyridae,Trichochrous,calcaratus,1940,Proc. Sixth Pac. Sci. Cong.,,,x,,,,x,x,,x
lit,Coleoptera,Melyridae,Trichochrous,lucidus,1895,Ann. N. Y. Acad. Sci.,,,,,,,,,,
lit,Coleoptera,Melyridae,Trichochrous,pedalis,1866,Proc. Acad. Nat. Sci. Phil.,,,,,x,,,,,
lit,Coleoptera,Melyridae,Trichochrous,pedalis,1895,Ann. N. Y. Acad. Sci.,,,,,x,,,,,
lit,Coleoptera,Melyridae,Trichochrous,pedalis,1897,Can. Ent.,,,,,x,x,,,,
lit,Coleoptera,Melyridae,Trichochrous,pedalis,1897,Can. Ent.,,,,,x,,,,,
lit,Coleoptera,Melyridae,Trichochrous,pedalis,1897,Can. Ent.,1875,,,,,,,,,
lit,Coleoptera,Melyridae,Trichochrous,pedalis,1901,Calif. Acad. Sci. Occ. Pap.,,,,,x,,,,,
lit,Coleoptera,Melyridae,Trichochrous,pedalis,1940,Proc. Sixth Pac. Sci. Cong.,,,,,x,x,,,,
lit,Coleoptera,Melyridae,Trichochrous,punctipennis,1866,Proc. Acad. Nat. Sci. Phil.,,,,,x,,,,,
lit,Coleoptera,Melyridae,Trichochrous,punctipennis,1897,Can. Ent.,,,,,x,,,,,
lit,Coleoptera,Melyridae,Trichochrous,punctipennis,1901,Calif. Acad. Sci. Occ. Pap.,,,,,x,,,,,
lit,Coleoptera,Melyridae,Trichochrous,sp.,1985,Ent. Calif. Ch. Isls. Proc.,,,,x,,,,,,
lit,Coleoptera,Melyridae,Trichochrous,sp. 1,1986,Psyche,,,,,,,,x,,
lit,Coleoptera,Melyridae,Trichochrous,sp. 1,1986,Psyche,1984,5,,,,,,,x,
lit,Coleoptera,Melyridae,Trichochrous,sp. 2,1986,Psyche,,,,,,,,x,,
lit,Coleoptera,Melyridae,Trichochrous (s. l.),sp.,1892,Zoe,1892,8,,,x,,,,,
lit,Coleoptera,Mordellidae,Anaspis,collaris,1897,Can. Ent.,,,,,x,,,,,
lit,Coleoptera,Mordellidae,Anaspis,collaris,1945,"Misc. Publ., Mus. Zool., UMich",,,,,x,,,,,
lit,Coleoptera,Mordellidae,Mordellistena,sp.,1897,Can. Ent.,,,,,x,,,,,
