kingdom_final,phylum_final,class_final,order_final,family_final,old_name,new_datasetname,syn_replace,Eliminate,SMI,SR,SCR,A,SBA,SNI,SCL,SCA
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Lessingia filaginifolia,Corethrogyne filaginifolia,,Keep,1,1,1,1,,,,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Corethrogyne filaginifolia var. filaginifolia,Corethrogyne filaginifolia,,Keep,1,1,1,1,,,,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Corethrogyne filaginifolia,Corethrogyne filaginifolia,,Keep,1,1,1,1,,,,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cotula australis,Cotula australis,,Keep,1,1,1,1,1,,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cotula coronopifolia,Cotula coronopifolia,,Keep,1,1,1,1,,1,,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Crepis setosa,Crepis setosa,,Keep,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cynara cardunculus subsp. flavescens,Cynara cardunculus subsp. flavescens,,Keep,,,1,,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cynara cardunculus,Cynara cardunculus subsp. flavescens,,Keep,,,1,,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Hemizonia clementina,Deinandra clementina,,Keep,,,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Deinandra clementina,Deinandra clementina,,Keep,,,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Hemizonia ramosissima,Deinandra fasciculata,,Keep,,1,1,1,1,,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Hemizonia fasciculata,Deinandra fasciculata,,Keep,,1,1,1,1,,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Deinandra fasciculata,Deinandra fasciculata,,Keep,,1,1,1,1,,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Hemizonia increscens subsp. increscens,Deinandra increscens subsp. increscens,,Keep,,1,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Hemizonia increscens,Deinandra increscens subsp. increscens,,Keep,,1,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Deinandra increscens,Deinandra increscens subsp. increscens,,Keep,,1,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Deinandra increscens subsp. increscens,Deinandra increscens subsp. increscens,,Keep,,1,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Senecio mikanioides,Delairea odorata,,Keep,,1,,1,,,,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Delairea odorata,Delairea odorata,,Keep,,1,,1,,,,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Encelia californica,Encelia californica,,Keep,,,1,1,1,1,1,1
